"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110800682","5.1.1.6.1","201600","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110800682","5.1.1.6.1","191500","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110800689","5.1.1.7.1","206600","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110800689","5.1.1.7.1","220500","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110800696","5.1.1.8.1","9500","E","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110800696","5.1.1.8.1","10200","E","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110800703","5.1.1.9.1","173100","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110800703","5.1.1.9.1","145600","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110800710","5.1.1.10.1","64600","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110800710","5.1.1.10.1","72100","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110800717","5.1.1.11.1","58000","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110800717","5.1.1.11.1","55700","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110800724","5.1.1.12.1","27000","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110800724","5.1.1.12.1","26700","E","","","0"
